s:	English
n:	e__	339
n:	e___	339
n:	e_	339
n:	e____	339
n:	s____	247
n:	s___	247
n:	s_	247
n:	s__	247
n:	_t	194
n:	_a	168
n:	th	166
n:	n___	158
n:	n_	158
n:	n__	158
n:	n____	158
n:	d____	145
n:	d_	145
n:	d___	145
n:	d__	145
n:	in	143
n:	re	134
n:	er	130
n:	he	128
n:	_th	127
n:	or	122
n:	t____	120
n:	t___	120
n:	t__	120
n:	t_	120
n:	_o	116
n:	_i	115
n:	r___	114
n:	r__	114
n:	r____	114
n:	r_	114
n:	an	111
n:	on	108
n:	a____	105
n:	a___	105
n:	a_	105
n:	a__	105
n:	at	104
n:	the	104
n:	ti	101
n:	le	100
n:	y___	100
n:	y_	100
n:	y__	100
n:	y____	100
n:	_J	99
n:	te	96
n:	es	94
n:	en	94
n:	_the	93
n:	ed	92
n:	he___	90
n:	he_	90
n:	he__	90
n:	av	89
n:	va	85
n:	ed_	85
n:	ed__	85
n:	ed___	85
n:	Ja	84
n:	_Ja	84
n:	_s	83
n:	ar	83
n:	_the_	82
n:	the__	82
n:	the_	82
n:	ava	81
n:	_c	80
n:	ec	80
n:	me	80
n:	Java	78
n:	_Java	78
n:	_Jav	78
n:	Jav	78
n:	co	77
n:	it	77
n:	de	77
n:	ava__	74
n:	ava_	74
n:	va_	74
n:	Java_	74
n:	va__	74
n:	va___	74
n:	_p	73
n:	nt	72
n:	ic	70
n:	_m	70
n:	se	70
n:	_f	69
n:	ro	69
n:	al	68
n:	to	66
n:	_r	63
n:	nd	62
n:	as	61
n:	io	60
n:	ll	60
n:	ng	60
n:	of	59
n:	_b	58
n:	ion	58
n:	st	57
n:	ns	57
n:	_w	57
n:	f___	57
n:	f_	57
n:	f____	57
n:	f__	57
n:	_in	55
n:	_co	54
n:	_of	52
n:	es___	52
n:	es_	52
n:	es__	52
n:	ra	52
n:	_an	52
n:	o____	51
n:	o___	51
n:	o_	51
n:	er__	51
n:	er___	51
n:	er_	51
n:	o__	51
n:	un	50
n:	or__	50
n:	or___	50
n:	or_	50
n:	of___	49
n:	of__	49
n:	_of__	49
n:	of_	49
n:	ce	49
n:	_of_	49
n:	pr	49
n:	tion	49
n:	tio	49
n:	om	49
n:	is	49
n:	fo	49
n:	ct	48
n:	ha	48
n:	em	48
n:	li	48
n:	for	48
n:	ri	48
n:	on___	47
n:	on_	47
n:	on__	47
n:	ne	47
n:	la	46
n:	ve	45
n:	ca	45
n:	_re	45
n:	_d	45
n:	ing	44
n:	g_	43
n:	g____	43
n:	g__	43
n:	to__	43
n:	g___	43
n:	ge	43
n:	to_	43
n:	to___	43
n:	ing_	42
n:	ng_	42
n:	ng___	42
n:	ing__	42
n:	ng__	42
n:	ly	42
n:	ac	42
n:	ma	42
n:	ea	41
n:	ent	41
n:	and	41
n:	_to	41
n:	_to_	40
n:	pl	40
n:	_to__	40
n:	ly__	39
n:	ly_	39
n:	ly___	39
n:	nd__	39
n:	nd___	39
n:	nd_	39
n:	il	39
n:	_____	39
n:	____	39
n:	___	39
n:	__	39
n:	re_	38
n:	re__	38
n:	re___	38
n:	le___	38
n:	as_	37
n:	ect	37
n:	_l	37
n:	as__	37
n:	le__	37
n:	le_	37
n:	l__	37
n:	l_	37
n:	l____	37
n:	l___	37
n:	as___	37
n:	ch	36
n:	ta	36
n:	ati	35
n:	in___	35
n:	in__	35
n:	all	35
n:	si	35
n:	_pr	35
n:	_fo	35
n:	hi	35
n:	ag	34
n:	in_	34
n:	h____	34
n:	h___	34
n:	is___	34
n:	_and_	34
n:	is_	34
n:	_and	34
n:	is__	34
n:	_for	34
n:	and_	34
n:	and__	34
n:	pe	33
n:	pro	33
n:	for_	33
n:	for__	33
n:	_for_	33
n:	h__	33
n:	h_	33
n:	ns_	32
n:	ns___	32
n:	ns__	32
n:	age	32
n:	im	32
n:	ion_	32
n:	ion__	32
n:	ur	31
n:	_h	31
n:	rt	31
n:	lo	31
n:	po	31
n:	rs	31
n:	el	31
n:	mp	30
n:	_in__	30
n:	_in_	30
n:	_u	29
n:	_pro	29
n:	ons	29
n:	na	28
n:	nc	28
n:	od	28
n:	atio	28
n:	ation	28
n:	_a_	27
n:	_a__	27
n:	am	27
n:	_a___	27
n:	_S	27
n:	_is	27
n:	com	26
n:	_is_	26
n:	tion_	26
n:	ol	26
n:	_n	26
n:	_is__	26
n:	un___	25
n:	_ma	25
n:	ons__	25
n:	og	25
n:	ons_	25
n:	us	25
n:	de__	25
n:	ers	25
n:	os	25
n:	de_	25
n:	un__	25
n:	de___	25
n:	un_	25
n:	ions	24
n:	ions_	24
n:	_e	24
n:	an_	24
n:	et	24
n:	at__	24
n:	an__	24
n:	an___	24
n:	ter	24
n:	_tha	24
n:	tha	24
n:	at___	24
n:	be	24
n:	at_	24
n:	pp	24
n:	ith	23
n:	m____	23
n:	m___	23
n:	_de	23
n:	wa	23
n:	ut	23
n:	se__	22
n:	ss	22
n:	se___	22
n:	se_	22
n:	_ha	22
n:	fi	22
n:	rs___	22
n:	ry__	22
n:	ge___	22
n:	ge_	22
n:	ua	22
n:	rs_	22
n:	ge__	22
n:	ts	22
n:	ap	22
n:	rs__	22
n:	are	22
n:	ate	22
n:	wi	21
n:	al___	21
n:	su	21
n:	so	21
n:	tions	21
n:	by	21
n:	_by	21
n:	op	21
n:	ie	21
n:	cl	21
n:	age__	20
n:	that	20
n:	hat_	20
n:	al_	20
n:	ci	20
n:	no	20
n:	al__	20
n:	age_	20
n:	lic	20
n:	_wi	20
n:	that_	20
n:	hat__	20
n:	_com	20
n:	hat	20
n:	ode	20
n:	_that	20
n:	m_	19
n:	mo	19
n:	m__	19
n:	ce___	19
n:	her	19
n:	ru	19
n:	tr	19
n:	ad	19
n:	nce	19
n:	ev	19
n:	_G	19
n:	cod	19
n:	ica	19
n:	code	19
n:	ce_	18
n:	me___	18
n:	ty	18
n:	ce__	18
n:	gr	18
n:	men	18
n:	_me	18
n:	bl	18
n:	nt___	18
n:	ent_	18
n:	ent__	18
n:	gra	18
n:	nt__	18
n:	nt_	18
n:	ne__	18
n:	ts___	18
n:	ts__	18
n:	me__	18
n:	code_	18
n:	ode__	18
n:	ts_	18
n:	ers__	18
n:	ers_	18
n:	ig	18
n:	ne_	18
n:	ode_	18
n:	me_	18
n:	cat	18
n:	_O	18
n:	ee	18
n:	ir	18
n:	rogra	17
n:	ul	17
n:	rog	17
n:	gram	17
n:	ogram	17
n:	ogra	17
n:	ou	17
n:	mm	17
n:	ram	17
n:	di	17
n:	_Su	17
n:	rogr	17
n:	ogr	17
n:	ms___	17
n:	are_	17
n:	are__	17
n:	_wit	17
n:	mi	17
n:	_as	17
n:	ted__	17
n:	wit	17
n:	_Sun	17
n:	ted_	17
n:	omp	17
n:	_with	17
n:	Su	17
n:	Sun	17
n:	ted	17
n:	with	17
n:	lly__	16
n:	th__	16
